ASN.,Netname,ASN單位,核發日期
AS132737,CHIEF-TW-NET,是方電訊股份有限公司,2019-09-26
AS136378,CHIEF-TW-NET,是方電訊股份有限公司,2019-09-26
AS131662,DENPAIO-NET,電波有限公司,2019-10-05
AS131663,GIGABYTE-NET,技嘉科技股份有限公司,2019-10-15
AS131666,HST-NET,昊星科技有限公司,2019-10-15
AS131664,NSSIT-NET,戰國策國際股份有限公司,2019-11-21
AS131665,NSSIT-NET,戰國策國際股份有限公司,2019-11-21
AS24165,UBBNET-NET,台固媒體股份有限公司,2019-12-17
AS131667,GRONEXT-NET,可羅涅斯特股份有限公司,2019-12-20
AS131668,TWDS-NET,台灣數位串流有限公司,2019-12-26
AS131669,DOPPLER-NET,杜浦數位安全有限公司,2019-12-26
AS131670,DOPPLER-NET,杜浦數位安全有限公司,2019-12-26
AS131671,FANTASY-NET,凡特斯數位科技股份有限公司,2020-01-02
AS131672,WANTEASY-NET,網易資訊有限公司,2020-01-10
AS131673,HTC-NET,宏達國際電子股份有限公司,2020-01-10
AS131674,OPENRICH-NET,豐軒科技股份有限公司,2020-01-15
AS131675,BEYONDORBIT-NET,越軌咖啡坊,2020-01-20
AS38851,NTCCATV-NET,天外天數位有線電視股份有限公司,2020-02-14
AS131676,GUANTING-NET,冠廷資訊有限公司,2020-03-03
AS131677,OPENFOR-NET,豐澤電信股份有限公司,2020-03-12
AS131678,DQWL-NET,帝群網路科技有限公司,2020-03-16
AS131679,GANGUTECH-NET,剛谷科技股份有限公司,2020-05-21
AS24161,NCICNET-NET,新世紀資通股份有限公司,2020-05-25
AS1768,NCICNET-NET,新世紀資通股份有限公司,2020-05-27
AS1769,NCICNET-NET,新世紀資通股份有限公司,2020-05-27
AS24172,CHUAN-CHAN-NET,荃城有限公司,2020-05-28
AS131680,COMPAL-NET,仁寶電腦股份有限公司,2020-05-28
AS131681,KKPC-NET,彭澄科技有限公司,2020-05-28
AS134522,HOSTIN-NET,鷹式特網有限公司,2020-06-16
AS9678,HOSTIN-NET,鷹式特網有限公司,2020-06-19
AS131682,MINGYITEA-NET,茗藝茶園,2020-07-01
AS18180,TWNIC-NET,台灣網路資訊中心,2020-08-05
AS3462,HINET-NET,中華電信股份有限公司,2020-09-18
